Province,Confirm,ma
Hà Nội,1.646.923,1.232
TP. Hồ Chí Minh,629.018,19.985
Hải Phòng,537.527,138
Nghệ An,502.049,145
Bắc Giang,391.44,92
Vĩnh Phúc,375.686,19
Hải Dương,372.391,117
Quảng Ninh,356.404,150
Bắc Ninh,353.869,136
Thái Nguyên,347.519,112
Phú Thọ,331.52,97
Bình Dương,325.667,3.519
Nam Định,301.101,150
Thái Bình,296.789,23
Hưng Yên,244.028,5
Hoà Bình,239.941,102
Lào Cai,188.846,38
Thanh Hóa,178.595,109
Đắk Lắk,172.439,201
Lạng Sơn,160.752,85
Yên Bái,158.046,13
Sơn La,153.602,0
Cà Mau,147.734,357
Tuyên Quang,147.582,14
Tây Ninh,140.444,944
Bình Định,139.89,281
Quảng Bình,129.648,74
Hà Giang,122.61,80
Khánh Hòa,122.036,364
Bình Phước,120.003,224
Bà Rịa - Vũng Tàu,110.822,497
Đà Nẵng,108.712,338
Đồng Nai,107.518,1.903
Ninh Bình,104.8,93
Vĩnh Long,103.505,829
Bến Tre,99.799,490
Cao Bằng,99.051,59
Lâm Đồng,98.238,141
Hà Nam,91.467,65
Điện Biên,90.757,23
Quảng Trị,86.293,38
Bắc Kạn,77.048,19
Cần Thơ,76.925,958
Lai Châu,75.519,0
Trà Vinh,75.174,115
Đắk Nông,73.427,47
Gia Lai,70.961,116
Hà Tĩnh,55.279,50
Bình Thuận,54.3,482
Đồng Tháp,51.614,1.007
Quảng Ngãi,50.513,127
Long An,50.297,1.088
Quảng Nam,49.556,150
Thừa Thiên Huế,48.186,173
Bạc Liêu,46.949,470
Phú Yên,44.481,137
Kiên Giang,43.659,1.027
An Giang,43.297,1.325
Tiền Giang,39.902,1.29
Sóc Trăng,34.457,634
Kon Tum,26.342,1
Hậu Giang,17.9,231
